"ParmSetID","Genotype","PlntN_Em","PlntN_Mt","relTT_Sn","RootSenFac","RUEmax","RWPC1","TbaseDev","TTtoMatr","ActO2CO2","Slow2CO2"
54,"Adapted","0.0162","0.00731","0.794","0.00205","3.64","0.619","8.25","1456","0.572","0.677"
55,"Baseline","0.013","0.00869","0.646","0.00195","2.55","0.79","8.52","944","0.654","0.747"
55,"Adapted","0.013","0.00869","0.646","0.00195","2.55","0.79","8.52","1227.2","0.654","0.747"
56,"Baseline","0.0164","0.00698","0.578","0.0018","3.3","0.621","11.1","1040","0.606","0.531"
56,"Adapted","0.0164","0.00698","0.578","0.0018","3.3","0.621","11.1","1352","0.606","0.531"
57,"Baseline","0.0169","0.00863","0.596","0.00172","3.04","0.779","8.6","1140","0.786","0.664"
57,"Adapted","0.0169","0.00863","0.596","0.00172","3.04","0.779","8.6","1482","0.786","0.664"
58,"Baseline","0.0168","0.00811","0.795","0.00204","3.02","0.83","7.82","1370","0.639","0.77"
58,"Adapted","0.0168","0.00811","0.795","0.00204","3.02","0.83","7.82","1781","0.639","0.77"
59,"Baseline","0.0151","0.0091","0.63","0.00209","2.67","0.64","10.7","949","0.68","0.77"
59,"Adapted","0.0151","0.0091","0.63","0.00209","2.67","0.64","10.7","1233.7","0.68","0.77"
60,"Baseline","0.0128","0.00878","0.826","0.00181","2.86","0.701","10.3","974","0.774","0.781"
60,"Adapted","0.0128","0.00878","0.826","0.00181","2.86","0.701","10.3","1266.2","0.774","0.781"
61,"Baseline","0.0174","0.00824","0.842","0.00186","3.6","0.772","8.1","1300","0.613","0.717"
61,"Adapted","0.0174","0.00824","0.842","0.00186","3.6","0.772","8.1","1690","0.613","0.717"
62,"Baseline","0.0129","0.0072","0.598","0.00188","3.32","0.658","9.85","985","0.658","0.597"
62,"Adapted","0.0129","0.0072","0.598","0.00188","3.32","0.658","9.85","1280.5","0.658","0.597"
63,"Baseline","0.0168","0.00767","0.644","0.00153","3.47","0.816","7.88","1300","0.647","0.742"
63,"Adapted","0.0168","0.00767","0.644","0.00153","3.47","0.816","7.88","1690","0.647","0.742"
64,"Baseline","0.0154","0.00693","0.629","0.00147","3.15","0.69","9.59","1220","0.618","0.69"
64,"Adapted","0.0154","0.00693","0.629","0.00147","3.15","0.69","9.59","1586","0.618","0.69"
65,"Baseline","0.013","0.00798","0.585","0.00207","3.38","0.704","8.38","1300","0.616","0.619"
65,"Adapted","0.013","0.00798","0.585","0.00207","3.38","0.704","8.38","1690","0.616","0.619"
66,"Baseline","0.0124","0.00844","0.706","0.0015","2.8","0.728","9.81","1160","0.757","0.604"
66,"Adapted","0.0124","0.00844","0.706","0.0015","2.8","0.728","9.81","1508","0.757","0.604"
67,"Baseline","0.0164","0.0076","0.801","0.00174","3.58","0.624","9.71","1320","0.745","0.65"
67,"Adapted","0.0164","0.0076","0.801","0.00174","3.58","0.624","9.71","1716","0.745","0.65"
68,"Baseline","0.0172","0.00679","0.827","0.00154","2.86","0.586","8.75","1040","0.594","0.67"
68,"Adapted","0.0172","0.00679","0.827","0.00154","2.86","0.586","8.75","1352","0.594","0.67"
69,"Baseline","0.0169","0.00659","0.702","0.00146","3.52","0.572","8.66","1310","0.75","0.609"
69,"Adapted","0.0169","0.00659","0.702","0.00146","3.52","0.572","8.66","1703","0.75","0.609"
